               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.025962,             0.01721,           0.0021563,             0.95152,             0.89851,             0.94307,             0.74041,            0.019187,             0.01332,           0.0012424,            0.007789,            0.007789,            0.007789
                 136,            0.025276,            0.016457,           0.0020744,             0.94627,             0.90567,             0.94618,             0.75019,            0.018775,            0.012756,           0.0012072,           0.0077725,           0.0077725,           0.0077725
                 137,            0.025142,            0.015673,            0.002031,             0.94474,             0.91379,             0.94351,             0.74469,            0.019247,            0.012693,           0.0011752,            0.007756,            0.007756,            0.007756
                 138,             0.02516,              0.0171,           0.0020575,             0.96046,             0.90676,             0.94454,             0.74905,            0.019525,            0.012794,           0.0012987,           0.0077395,           0.0077395,           0.0077395
                 139,            0.026354,            0.017363,           0.0021911,             0.94894,             0.91154,              0.9426,             0.73834,            0.019745,            0.012976,           0.0014441,            0.007723,            0.007723,            0.007723
                 140,             0.02495,            0.015945,           0.0020032,             0.94964,             0.89961,             0.94116,             0.74761,            0.019627,            0.013119,           0.0014185,           0.0077065,           0.0077065,           0.0077065
                 141,            0.024359,            0.016275,           0.0020496,             0.95045,             0.89712,             0.93834,             0.74897,            0.019296,            0.013361,             0.00131,             0.00769,             0.00769,             0.00769
                 142,            0.025303,            0.016529,           0.0021265,             0.95446,             0.91243,             0.94871,             0.74716,            0.019123,            0.012702,           0.0012906,           0.0076735,           0.0076735,           0.0076735
                 143,            0.025764,            0.016103,           0.0021818,             0.93725,             0.92551,             0.94843,             0.75813,            0.018506,            0.012654,           0.0013903,            0.007657,            0.007657,            0.007657
                 144,             0.02485,            0.015133,           0.0021402,             0.95735,             0.92158,              0.9513,             0.75912,            0.018785,            0.012409,           0.0012996,           0.0076405,           0.0076405,           0.0076405
                 145,            0.024792,            0.015584,           0.0020174,             0.95495,             0.91697,             0.94756,             0.75969,            0.019131,            0.012551,           0.0012911,            0.007624,            0.007624,            0.007624
                 146,            0.025511,            0.016675,           0.0020475,             0.95541,             0.91421,             0.94405,             0.75207,            0.019205,            0.013258,           0.0013613,           0.0076075,           0.0076075,           0.0076075
                 147,            0.024974,            0.015693,           0.0021484,             0.95272,             0.91178,             0.94529,             0.75487,            0.019082,            0.012866,           0.0013079,            0.007591,            0.007591,            0.007591
                 148,            0.024358,            0.016783,            0.002053,             0.95675,             0.92558,              0.9435,             0.75418,            0.018538,            0.012522,           0.0012345,           0.0075745,           0.0075745,           0.0075745
                 149,            0.024703,            0.015287,           0.0022264,             0.95382,             0.91825,             0.94287,             0.75871,            0.018654,            0.012742,           0.0012473,            0.007558,            0.007558,            0.007558
                 150,            0.024376,            0.015993,           0.0019667,             0.94712,             0.91243,             0.94779,              0.7593,            0.018884,            0.013179,           0.0012759,           0.0075415,           0.0075415,           0.0075415
                 151,            0.025166,            0.016804,           0.0020386,             0.95679,             0.90754,             0.94745,             0.75715,            0.018476,            0.012566,           0.0013543,            0.007525,            0.007525,            0.007525
                 152,            0.024488,            0.015996,           0.0020405,             0.95922,             0.91055,             0.95247,             0.76806,             0.01866,             0.01278,           0.0013251,           0.0075085,           0.0075085,           0.0075085
                 153,            0.024838,            0.015974,           0.0022136,             0.95877,             0.90277,             0.95181,             0.76573,            0.018288,            0.012543,           0.0012014,            0.007492,            0.007492,            0.007492
                 154,            0.024419,            0.016048,           0.0020251,             0.95623,              0.9253,             0.94813,             0.75693,            0.018809,            0.012843,           0.0014438,           0.0074755,           0.0074755,           0.0074755
                 155,            0.024316,            0.015331,           0.0020557,             0.96014,             0.93019,              0.9494,             0.76852,            0.018426,            0.012464,           0.0012943,            0.007459,            0.007459,            0.007459
                 156,            0.024027,            0.015249,           0.0020772,             0.94924,             0.92407,             0.94871,              0.7661,            0.018255,            0.012657,           0.0013863,           0.0074425,           0.0074425,           0.0074425
                 157,            0.024719,            0.016446,           0.0020954,             0.95705,             0.91342,              0.9459,             0.76386,            0.018914,            0.012505,           0.0013276,            0.007426,            0.007426,            0.007426
